T07,"Enrolment in primary, secondary and tertiary education levels",,,,,
620,Portugal,2015,Students enrolled in primary education (thousands),656.7270,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
620,Portugal,2015,Gross enrollement ratio - Primary (male),108.4545,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
620,Portugal,2015,Gross enrollment ratio - Primary (female),104.3843,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
620,Portugal,2015,Students enrolled in secondary education (thousands),778.5890,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
620,Portugal,2015,Gross enrollment ratio - Secondary (male),120.0425,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
620,Portugal,2015,Gross enrollment ratio - Secondary (female),116.3784,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
620,Portugal,2015,Students enrolled in tertiary education (thousands),337.5070,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
620,Portugal,2015,Gross enrollment ratio - Tertiary (male),57.5895,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
620,Portugal,2015,Gross enrollment ratio - Tertiary (female),65.2550,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
620,Portugal,2016,Students enrolled in primary education (thousands),638.8830,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
620,Portugal,2016,Gross enrollement ratio - Primary (male),107.0800,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
620,Portugal,2016,Gross enrollment ratio - Primary (female),103.3264,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
620,Portugal,2016,Students enrolled in secondary education (thousands),766.0520,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
620,Portugal,2016,Gross enrollment ratio - Secondary (male),119.0623,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
620,Portugal,2016,Gross enrollment ratio - Secondary (female),115.8974,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
620,Portugal,2016,Students enrolled in tertiary education (thousands),343.1170,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
620,Portugal,2016,Gross enrollment ratio - Tertiary (male),59.4799,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
620,Portugal,2016,Gross enrollment ratio - Tertiary (female),66.3512,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2010,Students enrolled in primary education (thousands),299.7460,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2010,Gross enrollement ratio - Primary (male),92.4967,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2010,Gross enrollment ratio - Primary (female),95.7708,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2010,Students enrolled in secondary education (thousands),290.9910,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2010,Gross enrollment ratio - Secondary (male),80.7981,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2010,Gross enrollment ratio - Secondary (female),85.3500,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2010,Students enrolled in tertiary education (thousands),249.3720,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2010,Gross enrollment ratio - Tertiary (male),69.8504,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2010,Gross enrollment ratio - Tertiary (female),103.1966,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2014,Students enrolled in primary education (thousands),258.9580,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2014,Gross enrollement ratio - Primary (male),87.4294,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2014,Gross enrollment ratio - Primary (female),88.6501,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2014,Students enrolled in secondary education (thousands),266.0770,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2014,Gross enrollment ratio - Secondary (male),78.7088,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2014,Gross enrollment ratio - Secondary (female),83.7905,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2014,Students enrolled in tertiary education (thousands),241.1680,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2014,Gross enrollment ratio - Tertiary (male),70.0901,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2014,Gross enrollment ratio - Tertiary (female),98.8292,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2015,Students enrolled in primary education (thousands),250.5790,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2015,Gross enrollement ratio - Primary (male),85.9734,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2015,Gross enrollment ratio - Primary (female),87.4776,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2015,Students enrolled in secondary education (thousands),278.9640,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2015,Gross enrollment ratio - Secondary (male),83.8889,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2015,Gross enrollment ratio - Secondary (female),89.3478,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2015,Students enrolled in tertiary education (thousands),240.8780,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2015,Gross enrollment ratio - Tertiary (male),70.6979,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2015,Gross enrollment ratio - Tertiary (female),99.4424,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2016,Students enrolled in primary education (thousands),227.5480,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2016,Gross enrollement ratio - Primary (male),79.3811,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2016,Gross enrollment ratio - Primary (female),80.9520,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2016,Students enrolled in secondary education (thousands),236.0010,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2016,Gross enrollment ratio - Secondary (male),71.9690,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2016,Gross enrollment ratio - Secondary (female),77.3763,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2016,Students enrolled in tertiary education (thousands),233.0700,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2016,Gross enrollment ratio - Tertiary (male),68.8835,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
630,Puerto Rico,2016,Gross enrollment ratio - Tertiary (female),97.2465,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2005,Students enrolled in primary education (thousands),69.9910,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2005,Gross enrollement ratio - Primary (male),107.1252,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2005,Gross enrollment ratio - Primary (female),103.7230,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2005,Students enrolled in secondary education (thousands),55.7050,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2005,Gross enrollment ratio - Secondary (male),102.3377,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2005,Gross enrollment ratio - Secondary (female),95.9879,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2005,Students enrolled in tertiary education (thousands),9.6990,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2005,Gross enrollment ratio - Tertiary (male),8.8330,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2005,Gross enrollment ratio - Tertiary (female),31.1154,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2010,Students enrolled in primary education (thousands),88.7230,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2010,Gross enrollement ratio - Primary (male),104.7122,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2010,Gross enrollment ratio - Primary (female),105.8896,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2010,Students enrolled in secondary education (thousands),68.9240,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2010,Gross enrollment ratio - Secondary (male),99.1892,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2010,Gross enrollment ratio - Secondary (female),103.2615,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2010,Students enrolled in tertiary education (thousands),13.8460,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2010,Gross enrollment ratio - Tertiary (male),4.8088,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2010,Gross enrollment ratio - Tertiary (female),25.5979,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2014,Students enrolled in primary education (thousands),117.4540,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2014,Gross enrollement ratio - Primary (male),98.0135,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2014,Gross enrollment ratio - Primary (female),100.7764,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2014,Students enrolled in secondary education (thousands),88.4660,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2014,Gross enrollment ratio - Secondary (male),72.6253,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2014,Gross enrollment ratio - Secondary (female),100.5250,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2014,Students enrolled in tertiary education (thousands),25.2550,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2014,Gross enrollment ratio - Tertiary (male),6.1707,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2014,Gross enrollment ratio - Tertiary (female),39.2326,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2015,Students enrolled in primary education (thousands),130.4640,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2015,Gross enrollement ratio - Primary (male),102.4283,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2015,Gross enrollment ratio - Primary (female),103.5974,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2015,Students enrolled in secondary education (thousands),95.5670,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2015,Gross enrollment ratio - Secondary (male),81.9663,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2015,Gross enrollment ratio - Secondary (female),103.6005,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2015,Students enrolled in tertiary education (thousands),27.8660,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2015,Gross enrollment ratio - Tertiary (male),6.3187,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2015,Gross enrollment ratio - Tertiary (female),43.8846,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2017,Students enrolled in primary education (thousands),146.4180,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2017,Gross enrollement ratio - Primary (male),104.6289,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2017,Gross enrollment ratio - Primary (female),103.8009,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2017,Students enrolled in secondary education (thousands),103.0420,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2017,Gross enrollment ratio - Secondary (male),77.2783,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2017,Gross enrollment ratio - Secondary (female),96.3391,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2017,Students enrolled in tertiary education (thousands),31.2770,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2017,Gross enrollment ratio - Tertiary (male),6.5855,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
634,Qatar,2017,Gross enrollment ratio - Tertiary (female),51.0396,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2005,Students enrolled in primary education (thousands),"4,031.5900",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2005,Gross enrollement ratio - Primary (male),101.4191,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2005,Gross enrollment ratio - Primary (female),100.6902,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2005,Students enrolled in secondary education (thousands),"3,795.9810",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2005,Gross enrollment ratio - Secondary (male),96.0205,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2005,Gross enrollment ratio - Secondary (female),98.2025,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2005,Students enrolled in tertiary education (thousands),"3,210.1840",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2005,Gross enrollment ratio - Tertiary (male),110.7834,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2005,Gross enrollment ratio - Tertiary (female),70.9493,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2010,Students enrolled in primary education (thousands),"3,306.2110",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2010,Gross enrollement ratio - Primary (male),101.6712,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2010,Gross enrollment ratio - Primary (female),101.7314,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2010,Students enrolled in secondary education (thousands),"3,959.4510",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2010,Gross enrollment ratio - Secondary (male),96.5669,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2010,Gross enrollment ratio - Secondary (female),96.0630,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2010,Students enrolled in tertiary education (thousands),"3,269.5090",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2010,Gross enrollment ratio - Tertiary (male),116.6910,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2010,Gross enrollment ratio - Tertiary (female),86.8044,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2014,Students enrolled in primary education (thousands),"2,736.2240",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2014,Gross enrollement ratio - Primary (male),96.7807,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2014,Gross enrollment ratio - Primary (female),97.3305,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2014,Students enrolled in secondary education (thousands),"3,579.4110",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2014,Gross enrollment ratio - Secondary (male),100.5470,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2014,Gross enrollment ratio - Secondary (female),100.4736,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2014,Students enrolled in tertiary education (thousands),"3,318.3070",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2014,Gross enrollment ratio - Tertiary (male),105.1565,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2014,Gross enrollment ratio - Tertiary (female),80.2007,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2015,Students enrolled in primary education (thousands),"2,721.7660",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2015,Gross enrollement ratio - Primary (male),97.3692,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2015,Gross enrollment ratio - Primary (female),97.8241,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2015,Students enrolled in secondary education (thousands),"3,396.7660",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2015,Gross enrollment ratio - Secondary (male),100.1290,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2015,Gross enrollment ratio - Secondary (female),100.2714,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2015,Students enrolled in tertiary education (thousands),"3,268.0990",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2015,Gross enrollment ratio - Tertiary (male),104.5980,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2015,Gross enrollment ratio - Tertiary (female),80.5668,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2016,Students enrolled in primary education (thousands),"2,680.1260",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
