T11,Expenditure on health,,,,,
768,Togo,2015,Domestic general government health expenditure (% of total government expenditure),4.1512,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
768,Togo,2016,Domestic general government health expenditure (% of total government expenditure),4.2550,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
776,Tonga,2000,Current health expenditure (% of GDP),2.9270,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
776,Tonga,2005,Current health expenditure (% of GDP),4.1623,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
776,Tonga,2010,Current health expenditure (% of GDP),4.7410,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
776,Tonga,2014,Current health expenditure (% of GDP),5.1139,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
776,Tonga,2015,Current health expenditure (% of GDP),4.6681,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
776,Tonga,2016,Current health expenditure (% of GDP),5.2639,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
776,Tonga,2000,Domestic general government health expenditure (% of total government expenditure),11.4131,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
776,Tonga,2005,Domestic general government health expenditure (% of total government expenditure),10.5927,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
776,Tonga,2010,Domestic general government health expenditure (% of total government expenditure),9.0327,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
776,Tonga,2014,Domestic general government health expenditure (% of total government expenditure),8.0821,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
776,Tonga,2015,Domestic general government health expenditure (% of total government expenditure),6.8444,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
776,Tonga,2016,Domestic general government health expenditure (% of total government expenditure),8.0439,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
780,Trinidad and Tobago,2000,Current health expenditure (% of GDP),4.3198,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
780,Trinidad and Tobago,2005,Current health expenditure (% of GDP),4.4990,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
780,Trinidad and Tobago,2010,Current health expenditure (% of GDP),5.1783,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
780,Trinidad and Tobago,2014,Current health expenditure (% of GDP),5.2813,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
780,Trinidad and Tobago,2015,Current health expenditure (% of GDP),6.2174,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
780,Trinidad and Tobago,2016,Current health expenditure (% of GDP),6.5104,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
780,Trinidad and Tobago,2000,Domestic general government health expenditure (% of total government expenditure),6.7857,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
780,Trinidad and Tobago,2005,Domestic general government health expenditure (% of total government expenditure),8.8725,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
780,Trinidad and Tobago,2010,Domestic general government health expenditure (% of total government expenditure),8.0441,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
780,Trinidad and Tobago,2014,Domestic general government health expenditure (% of total government expenditure),7.4748,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
780,Trinidad and Tobago,2015,Domestic general government health expenditure (% of total government expenditure),8.3091,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
780,Trinidad and Tobago,2016,Domestic general government health expenditure (% of total government expenditure),9.6594,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
788,Tunisia,2000,Current health expenditure (% of GDP),5.0483,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
788,Tunisia,2005,Current health expenditure (% of GDP),5.3974,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
788,Tunisia,2010,Current health expenditure (% of GDP),5.8840,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
788,Tunisia,2014,Current health expenditure (% of GDP),6.8116,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
788,Tunisia,2015,Current health expenditure (% of GDP),7.0068,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
788,Tunisia,2016,Current health expenditure (% of GDP),6.9520,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
788,Tunisia,2000,Domestic general government health expenditure (% of total government expenditure),10.5429,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
788,Tunisia,2005,Domestic general government health expenditure (% of total government expenditure),11.3501,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
788,Tunisia,2010,Domestic general government health expenditure (% of total government expenditure),13.0318,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
788,Tunisia,2014,Domestic general government health expenditure (% of total government expenditure),13.2843,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
788,Tunisia,2015,Domestic general government health expenditure (% of total government expenditure),13.8623,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
788,Tunisia,2016,Domestic general government health expenditure (% of total government expenditure),13.7230,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
792,Turkey,2000,Current health expenditure (% of GDP),4.6220,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
792,Turkey,2005,Current health expenditure (% of GDP),4.9416,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
792,Turkey,2010,Current health expenditure (% of GDP),5.0537,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
792,Turkey,2014,Current health expenditure (% of GDP),4.3473,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
792,Turkey,2015,Current health expenditure (% of GDP),4.1385,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
792,Turkey,2016,Current health expenditure (% of GDP),4.3143,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
792,Turkey,2000,Domestic general government health expenditure (% of total government expenditure),7.1859,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
792,Turkey,2005,Domestic general government health expenditure (% of total government expenditure),10.3245,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
792,Turkey,2010,Domestic general government health expenditure (% of total government expenditure),10.8751,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
792,Turkey,2014,Domestic general government health expenditure (% of total government expenditure),10.1358,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
792,Turkey,2015,Domestic general government health expenditure (% of total government expenditure),9.6732,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
792,Turkey,2016,Domestic general government health expenditure (% of total government expenditure),9.6476,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
795,Turkmenistan,2000,Current health expenditure (% of GDP),6.8907,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
795,Turkmenistan,2005,Current health expenditure (% of GDP),9.5553,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
795,Turkmenistan,2010,Current health expenditure (% of GDP),4.9964,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
795,Turkmenistan,2014,Current health expenditure (% of GDP),5.4978,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
795,Turkmenistan,2015,Current health expenditure (% of GDP),6.2979,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
795,Turkmenistan,2016,Current health expenditure (% of GDP),6.6180,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
795,Turkmenistan,2000,Domestic general government health expenditure (% of total government expenditure),13.3360,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
795,Turkmenistan,2005,Domestic general government health expenditure (% of total government expenditure),10.2729,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
795,Turkmenistan,2010,Domestic general government health expenditure (% of total government expenditure),8.7117,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
795,Turkmenistan,2014,Domestic general government health expenditure (% of total government expenditure),8.7137,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
795,Turkmenistan,2015,Domestic general government health expenditure (% of total government expenditure),8.7115,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
795,Turkmenistan,2016,Domestic general government health expenditure (% of total government expenditure),8.7137,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
798,Tuvalu,2000,Current health expenditure (% of GDP),24.2393,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
798,Tuvalu,2005,Current health expenditure (% of GDP),11.3173,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
798,Tuvalu,2010,Current health expenditure (% of GDP),15.6507,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
798,Tuvalu,2014,Current health expenditure (% of GDP),15.4100,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
798,Tuvalu,2015,Current health expenditure (% of GDP),14.1149,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
798,Tuvalu,2016,Current health expenditure (% of GDP),15.4540,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
798,Tuvalu,2000,Domestic general government health expenditure (% of total government expenditure),11.9361,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
798,Tuvalu,2005,Domestic general government health expenditure (% of total government expenditure),11.6213,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
798,Tuvalu,2010,Domestic general government health expenditure (% of total government expenditure),14.7879,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
798,Tuvalu,2014,Domestic general government health expenditure (% of total government expenditure),12.8667,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
798,Tuvalu,2015,Domestic general government health expenditure (% of total government expenditure),10.3167,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
798,Tuvalu,2016,Domestic general government health expenditure (% of total government expenditure),9.0141,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
800,Uganda,2000,Current health expenditure (% of GDP),7.5605,"Unlike other countries, in Uganda Fiscal Years starting on July 1 and ending in June 30 are converted to the previous year and that is a special request from the country.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
800,Uganda,2005,Current health expenditure (% of GDP),11.3637,"Unlike other countries, in Uganda Fiscal Years starting on July 1 and ending in June 30 are converted to the previous year and that is a special request from the country.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
800,Uganda,2010,Current health expenditure (% of GDP),10.5157,"Unlike other countries, in Uganda Fiscal Years starting on July 1 and ending in June 30 are converted to the previous year and that is a special request from the country.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
800,Uganda,2014,Current health expenditure (% of GDP),6.6981,"Unlike other countries, in Uganda Fiscal Years starting on July 1 and ending in June 30 are converted to the previous year and that is a special request from the country.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
800,Uganda,2015,Current health expenditure (% of GDP),6.3340,"Unlike other countries, in Uganda Fiscal Years starting on July 1 and ending in June 30 are converted to the previous year and that is a special request from the country.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
800,Uganda,2016,Current health expenditure (% of GDP),6.1650,"Unlike other countries, in Uganda Fiscal Years starting on July 1 and ending in June 30 are converted to the previous year and that is a special request from the country.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
800,Uganda,2000,Domestic general government health expenditure (% of total government expenditure),9.2938,"Unlike other countries, in Uganda Fiscal Years starting on July 1 and ending in June 30 are converted to the previous year and that is a special request from the country.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
800,Uganda,2005,Domestic general government health expenditure (% of total government expenditure),14.9322,"Unlike other countries, in Uganda Fiscal Years starting on July 1 and ending in June 30 are converted to the previous year and that is a special request from the country.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
800,Uganda,2010,Domestic general government health expenditure (% of total government expenditure),7.6043,"Unlike other countries, in Uganda Fiscal Years starting on July 1 and ending in June 30 are converted to the previous year and that is a special request from the country.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
800,Uganda,2014,Domestic general government health expenditure (% of total government expenditure),5.6029,"Unlike other countries, in Uganda Fiscal Years starting on July 1 and ending in June 30 are converted to the previous year and that is a special request from the country.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
800,Uganda,2015,Domestic general government health expenditure (% of total government expenditure),5.1353,"Unlike other countries, in Uganda Fiscal Years starting on July 1 and ending in June 30 are converted to the previous year and that is a special request from the country.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
800,Uganda,2016,Domestic general government health expenditure (% of total government expenditure),5.1353,"Unlike other countries, in Uganda Fiscal Years starting on July 1 and ending in June 30 are converted to the previous year and that is a special request from the country.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
804,Ukraine,2000,Current health expenditure (% of GDP),5.3071,Excludes the temporarily occupied territory of the Autonomous Republic of Crimea and Sevastopol.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
804,Ukraine,2005,Current health expenditure (% of GDP),6.1126,Excludes the temporarily occupied territory of the Autonomous Republic of Crimea and Sevastopol.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
804,Ukraine,2010,Current health expenditure (% of GDP),6.9811,Excludes the temporarily occupied territory of the Autonomous Republic of Crimea and Sevastopol.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
804,Ukraine,2014,Current health expenditure (% of GDP),6.6353,Excludes the temporarily occupied territory of the Autonomous Republic of Crimea and Sevastopol.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
804,Ukraine,2015,Current health expenditure (% of GDP),6.9562,Excludes the temporarily occupied territory of the Autonomous Republic of Crimea and Sevastopol.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
804,Ukraine,2016,Current health expenditure (% of GDP),6.7270,Excludes the temporarily occupied territory of the Autonomous Republic of Crimea and Sevastopol.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
804,Ukraine,2000,Domestic general government health expenditure (% of total government expenditure),7.0812,Excludes the temporarily occupied territory of the Autonomous Republic of Crimea and Sevastopol.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
804,Ukraine,2005,Domestic general government health expenditure (% of total government expenditure),8.4319,Excludes the temporarily occupied territory of the Autonomous Republic of Crimea and Sevastopol.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
804,Ukraine,2010,Domestic general government health expenditure (% of total government expenditure),7.5005,Excludes the temporarily occupied territory of the Autonomous Republic of Crimea and Sevastopol.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
804,Ukraine,2014,Domestic general government health expenditure (% of total government expenditure),6.4691,Excludes the temporarily occupied territory of the Autonomous Republic of Crimea and Sevastopol.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
804,Ukraine,2015,Domestic general government health expenditure (% of total government expenditure),6.6355,Excludes the temporarily occupied territory of the Autonomous Republic of Crimea and Sevastopol.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
804,Ukraine,2016,Domestic general government health expenditure (% of total government expenditure),7.0303,Excludes the temporarily occupied territory of the Autonomous Republic of Crimea and Sevastopol.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
784,United Arab Emirates,2000,Current health expenditure (% of GDP),2.3741,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
784,United Arab Emirates,2005,Current health expenditure (% of GDP),2.3202,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
784,United Arab Emirates,2010,Current health expenditure (% of GDP),3.8775,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
784,United Arab Emirates,2014,Current health expenditure (% of GDP),3.6297,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
784,United Arab Emirates,2015,Current health expenditure (% of GDP),3.5855,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
784,United Arab Emirates,2016,Current health expenditure (% of GDP),3.5168,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
784,United Arab Emirates,2000,Domestic general government health expenditure (% of total government expenditure),7.5661,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
784,United Arab Emirates,2005,Domestic general government health expenditure (% of total government expenditure),8.3768,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
784,United Arab Emirates,2010,Domestic general government health expenditure (% of total government expenditure),8.5268,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
784,United Arab Emirates,2014,Domestic general government health expenditure (% of total government expenditure),7.7778,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
784,United Arab Emirates,2015,Domestic general government health expenditure (% of total government expenditure),7.8905,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
784,United Arab Emirates,2016,Domestic general government health expenditure (% of total government expenditure),7.8905,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
826,United Kingdom,2000,Current health expenditure (% of GDP),5.9718,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
826,United Kingdom,2005,Current health expenditure (% of GDP),7.1867,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
826,United Kingdom,2010,Current health expenditure (% of GDP),8.4741,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
826,United Kingdom,2014,Current health expenditure (% of GDP),9.7239,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
826,United Kingdom,2015,Current health expenditure (% of GDP),9.7927,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
826,United Kingdom,2016,Current health expenditure (% of GDP),9.7623,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
826,United Kingdom,2000,Domestic general government health expenditure (% of total government expenditure),13.7787,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
826,United Kingdom,2005,Domestic general government health expenditure (% of total government expenditure),14.5109,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
826,United Kingdom,2010,Domestic general government health expenditure (% of total government expenditure),15.0267,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
826,United Kingdom,2014,Domestic general government health expenditure (% of total government expenditure),18.0871,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
826,United Kingdom,2015,Domestic general government health expenditure (% of total government expenditure),18.5484,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
826,United Kingdom,2016,Domestic general government health expenditure (% of total government expenditure),18.8773,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
834,United Rep. of Tanzania,2000,Current health expenditure (% of GDP),3.4006,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
834,United Rep. of Tanzania,2005,Current health expenditure (% of GDP),6.4139,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
834,United Rep. of Tanzania,2010,Current health expenditure (% of GDP),5.2991,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
834,United Rep. of Tanzania,2014,Current health expenditure (% of GDP),4.1602,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
834,United Rep. of Tanzania,2015,Current health expenditure (% of GDP),3.7897,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
834,United Rep. of Tanzania,2016,Current health expenditure (% of GDP),4.1399,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
834,United Rep. of Tanzania,2000,Domestic general government health expenditure (% of total government expenditure),6.0520,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
834,United Rep. of Tanzania,2005,Domestic general government health expenditure (% of total government expenditure),12.6199,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
834,United Rep. of Tanzania,2010,Domestic general government health expenditure (% of total government expenditure),7.2644,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
834,United Rep. of Tanzania,2014,Domestic general government health expenditure (% of total government expenditure),6.9378,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
834,United Rep. of Tanzania,2015,Domestic general government health expenditure (% of total government expenditure),7.3306,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
834,United Rep. of Tanzania,2016,Domestic general government health expenditure (% of total government expenditure),9.5214,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
840,United States of America,2000,Current health expenditure (% of GDP),12.5021,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
840,United States of America,2005,Current health expenditure (% of GDP),14.5415,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
840,United States of America,2010,Current health expenditure (% of GDP),16.4129,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
840,United States of America,2014,Current health expenditure (% of GDP),16.5051,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
840,United States of America,2015,Current health expenditure (% of GDP),16.8157,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
840,United States of America,2016,Current health expenditure (% of GDP),17.0734,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
840,United States of America,2000,Domestic general government health expenditure (% of total government expenditure),16.3834,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
840,United States of America,2005,Domestic general government health expenditure (% of total government expenditure),18.1072,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
840,United States of America,2010,Domestic general government health expenditure (% of total government expenditure),18.5534,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
840,United States of America,2014,Domestic general government health expenditure (% of total government expenditure),35.2854,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
840,United States of America,2015,Domestic general government health expenditure (% of total government expenditure),36.6425,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
840,United States of America,2016,Domestic general government health expenditure (% of total government expenditure),39.4565,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
858,Uruguay,2000,Current health expenditure (% of GDP),10.0062,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
858,Uruguay,2005,Current health expenditure (% of GDP),8.4267,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
858,Uruguay,2010,Current health expenditure (% of GDP),8.5744,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
858,Uruguay,2014,Current health expenditure (% of GDP),8.7702,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
858,Uruguay,2015,Current health expenditure (% of GDP),9.0083,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
858,Uruguay,2016,Current health expenditure (% of GDP),9.0608,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
858,Uruguay,2000,Domestic general government health expenditure (% of total government expenditure),14.2750,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
858,Uruguay,2005,Domestic general government health expenditure (% of total government expenditure),13.2281,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
