T04,International migrants and refugees,,,,,
688,Serbia,2015,International migrant stock: Both sexes (number),807441.0000,Including Kosovo.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
688,Serbia,2015,International migrant stock: Both sexes (% total population),9.1223,Including Kosovo.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
688,Serbia,2015,International migrant stock: Male (% total Population),8.2108,Including Kosovo.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
688,Serbia,2015,International migrant stock: Female (% total Population),9.9936,Including Kosovo.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
688,Serbia,2015,Total refugees and people in refugee-like situations (number),35309.0000,Including Kosovo.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
688,Serbia,2015,"Asylum seekers, including pending cases (number)",464.0000,Including Kosovo.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
688,Serbia,2015,Other of concern to UNHCR (number),223949.0000,Including Kosovo.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
688,Serbia,2015,Total population of concern to UNHCR (number),259722.0000,Including Kosovo.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
688,Serbia,2017,International migrant stock: Both sexes (number),801903.0000,Including Kosovo.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
688,Serbia,2017,International migrant stock: Both sexes (% total population),9.1223,Including Kosovo.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
688,Serbia,2017,International migrant stock: Male (% total Population),8.2121,Including Kosovo.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
688,Serbia,2017,International migrant stock: Female (% total Population),9.9921,Including Kosovo.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
688,Serbia,2017,Total refugees and people in refugee-like situations (number),33704.0000,Including Kosovo.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
688,Serbia,2017,"Asylum seekers, including pending cases (number)",205.0000,Including Kosovo.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
688,Serbia,2017,Other of concern to UNHCR (number),220378.0000,Including Kosovo.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
688,Serbia,2017,Total population of concern to UNHCR (number),254287.0000,Including Kosovo.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
688,Serbia,2018,Total refugees and people in refugee-like situations (number),30935.0000,Including Kosovo.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
688,Serbia,2018,"Asylum seekers, including pending cases (number)",140.0000,Including Kosovo.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
688,Serbia,2018,Other of concern to UNHCR (number),219601.0000,Including Kosovo.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
688,Serbia,2018,Total population of concern to UNHCR (number),250676.0000,Including Kosovo.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
690,Seychelles,2005,International migrant stock: Both sexes (number),8997.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
690,Seychelles,2005,International migrant stock: Both sexes (% total population),10.1382,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
690,Seychelles,2005,International migrant stock: Male (% total Population),13.1255,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
690,Seychelles,2005,International migrant stock: Female (% total Population),7.1544,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
690,Seychelles,2010,International migrant stock: Both sexes (number),11420.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
690,Seychelles,2010,International migrant stock: Both sexes (% total population),12.4938,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
690,Seychelles,2010,International migrant stock: Male (% total Population),16.5553,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
690,Seychelles,2010,International migrant stock: Female (% total Population),8.1695,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
690,Seychelles,2015,International migrant stock: Both sexes (number),12791.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
690,Seychelles,2015,International migrant stock: Both sexes (% total population),13.6449,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
690,Seychelles,2015,International migrant stock: Male (% total Population),19.2754,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
690,Seychelles,2015,International migrant stock: Female (% total Population),8.1145,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
690,Seychelles,2017,International migrant stock: Both sexes (number),12926.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
690,Seychelles,2017,International migrant stock: Both sexes (% total population),13.6441,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
690,Seychelles,2017,International migrant stock: Male (% total Population),19.3835,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
690,Seychelles,2017,International migrant stock: Female (% total Population),8.0685,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
690,Seychelles,2017,"Asylum seekers, including pending cases (number)",1.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
690,Seychelles,2017,Total population of concern to UNHCR (number),1.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
690,Seychelles,2018,"Asylum seekers, including pending cases (number)",1.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
690,Seychelles,2018,Total population of concern to UNHCR (number),1.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
694,Sierra Leone,2005,International migrant stock: Both sexes (number),149615.0000,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
694,Sierra Leone,2005,International migrant stock: Both sexes (% total population),2.6441,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
694,Sierra Leone,2005,International migrant stock: Male (% total Population),2.8533,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
694,Sierra Leone,2005,International migrant stock: Female (% total Population),2.4405,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
694,Sierra Leone,2005,Total refugees and people in refugee-like situations (number),59965.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
694,Sierra Leone,2005,"Asylum seekers, including pending cases (number)",177.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
694,Sierra Leone,2005,Other of concern to UNHCR (number),6202.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
694,Sierra Leone,2005,Total population of concern to UNHCR (number),66344.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
694,Sierra Leone,2010,International migrant stock: Both sexes (number),97452.0000,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
694,Sierra Leone,2010,International migrant stock: Both sexes (% total population),1.5088,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
694,Sierra Leone,2010,International migrant stock: Male (% total Population),1.6690,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
694,Sierra Leone,2010,International migrant stock: Female (% total Population),1.3525,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
694,Sierra Leone,2010,Total refugees and people in refugee-like situations (number),8363.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
694,Sierra Leone,2010,"Asylum seekers, including pending cases (number)",210.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
694,Sierra Leone,2010,Other of concern to UNHCR (number),38.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
694,Sierra Leone,2010,Total population of concern to UNHCR (number),8611.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
694,Sierra Leone,2015,International migrant stock: Both sexes (number),91213.0000,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
694,Sierra Leone,2015,International migrant stock: Both sexes (% total population),1.2604,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
694,Sierra Leone,2015,International migrant stock: Male (% total Population),1.3950,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
694,Sierra Leone,2015,International migrant stock: Female (% total Population),1.1285,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
694,Sierra Leone,2015,Total refugees and people in refugee-like situations (number),1371.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
694,Sierra Leone,2015,"Asylum seekers, including pending cases (number)",16.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
694,Sierra Leone,2015,Total population of concern to UNHCR (number),1387.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
694,Sierra Leone,2017,International migrant stock: Both sexes (number),95248.0000,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
694,Sierra Leone,2017,International migrant stock: Both sexes (% total population),1.2604,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
694,Sierra Leone,2017,International migrant stock: Male (% total Population),1.3941,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
694,Sierra Leone,2017,International migrant stock: Female (% total Population),1.1292,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
694,Sierra Leone,2017,Total refugees and people in refugee-like situations (number),693.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
694,Sierra Leone,2017,"Asylum seekers, including pending cases (number)",1.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
694,Sierra Leone,2017,Total population of concern to UNHCR (number),694.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
694,Sierra Leone,2018,Total refugees and people in refugee-like situations (number),686.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
694,Sierra Leone,2018,Total population of concern to UNHCR (number),686.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
702,Singapore,2005,International migrant stock: Both sexes (number),1710594.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
702,Singapore,2005,International migrant stock: Both sexes (% total population),38.0890,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
702,Singapore,2005,International migrant stock: Male (% total Population),34.0409,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
702,Singapore,2005,International migrant stock: Female (% total Population),42.0781,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
702,Singapore,2005,Total refugees and people in refugee-like situations (number),3.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
702,Singapore,2005,"Asylum seekers, including pending cases (number)",1.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
702,Singapore,2005,Total population of concern to UNHCR (number),4.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
702,Singapore,2010,International migrant stock: Both sexes (number),2164794.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
702,Singapore,2010,International migrant stock: Both sexes (% total population),42.6623,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
702,Singapore,2010,International migrant stock: Male (% total Population),38.2163,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
702,Singapore,2010,International migrant stock: Female (% total Population),46.9929,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
702,Singapore,2010,Total refugees and people in refugee-like situations (number),7.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
702,Singapore,2010,Total population of concern to UNHCR (number),7.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
702,Singapore,2015,International migrant stock: Both sexes (number),2543638.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
702,Singapore,2015,International migrant stock: Both sexes (% total population),45.9533,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
702,Singapore,2015,International migrant stock: Male (% total Population),41.0765,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
702,Singapore,2015,International migrant stock: Female (% total Population),50.7129,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
702,Singapore,2015,Other of concern to UNHCR (number),1.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
702,Singapore,2015,Total population of concern to UNHCR (number),1.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
702,Singapore,2017,International migrant stock: Both sexes (number),2623404.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
702,Singapore,2017,International migrant stock: Both sexes (% total population),45.9533,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
702,Singapore,2017,International migrant stock: Male (% total Population),41.0605,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
702,Singapore,2017,International migrant stock: Female (% total Population),50.7322,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
702,Singapore,2017,Other of concern to UNHCR (number),1.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
702,Singapore,2017,Total population of concern to UNHCR (number),1.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
702,Singapore,2018,Other of concern to UNHCR (number),1.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
702,Singapore,2018,Total population of concern to UNHCR (number),1.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
534,Sint Maarten (Dutch part),2005,International migrant stock: Both sexes (number),13100.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
534,Sint Maarten (Dutch part),2005,International migrant stock: Both sexes (% total population),40.2693,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
534,Sint Maarten (Dutch part),2010,International migrant stock: Both sexes (number),26200.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
534,Sint Maarten (Dutch part),2010,International migrant stock: Both sexes (% total population),79.0967,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
534,Sint Maarten (Dutch part),2010,Total refugees and people in refugee-like situations (number),1.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
534,Sint Maarten (Dutch part),2010,"Asylum seekers, including pending cases (number)",3.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
534,Sint Maarten (Dutch part),2010,Total population of concern to UNHCR (number),4.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
534,Sint Maarten (Dutch part),2015,International migrant stock: Both sexes (number),27295.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
534,Sint Maarten (Dutch part),2015,International migrant stock: Both sexes (% total population),70.4387,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
534,Sint Maarten (Dutch part),2015,Total refugees and people in refugee-like situations (number),3.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
534,Sint Maarten (Dutch part),2015,"Asylum seekers, including pending cases (number)",5.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
534,Sint Maarten (Dutch part),2015,Total population of concern to UNHCR (number),8.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
534,Sint Maarten (Dutch part),2017,International migrant stock: Both sexes (number),28260.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
534,Sint Maarten (Dutch part),2017,International migrant stock: Both sexes (% total population),70.4387,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
534,Sint Maarten (Dutch part),2017,Total refugees and people in refugee-like situations (number),5.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
534,Sint Maarten (Dutch part),2017,"Asylum seekers, including pending cases (number)",6.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
534,Sint Maarten (Dutch part),2017,Total population of concern to UNHCR (number),11.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
534,Sint Maarten (Dutch part),2018,Total refugees and people in refugee-like situations (number),5.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
534,Sint Maarten (Dutch part),2018,"Asylum seekers, including pending cases (number)",2.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
534,Sint Maarten (Dutch part),2018,Total population of concern to UNHCR (number),7.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
703,Slovakia,2005,International migrant stock: Both sexes (number),130491.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
703,Slovakia,2005,International migrant stock: Both sexes (% total population),2.4170,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
703,Slovakia,2005,International migrant stock: Male (% total Population),2.2432,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
703,Slovakia,2005,International migrant stock: Female (% total Population),2.5805,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
703,Slovakia,2005,Total refugees and people in refugee-like situations (number),368.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
703,Slovakia,2005,"Asylum seekers, including pending cases (number)",2707.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
703,Slovakia,2005,Total population of concern to UNHCR (number),3075.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
703,Slovakia,2010,International migrant stock: Both sexes (number),146319.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
703,Slovakia,2010,International migrant stock: Both sexes (% total population),2.7075,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
703,Slovakia,2010,International migrant stock: Male (% total Population),2.5536,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
703,Slovakia,2010,International migrant stock: Female (% total Population),2.8524,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
703,Slovakia,2010,Total refugees and people in refugee-like situations (number),461.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
703,Slovakia,2010,"Asylum seekers, including pending cases (number)",267.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
703,Slovakia,2010,Other of concern to UNHCR (number),911.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
703,Slovakia,2010,Total population of concern to UNHCR (number),1639.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
703,Slovakia,2015,International migrant stock: Both sexes (number),177624.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
703,Slovakia,2015,International migrant stock: Both sexes (% total population),3.2656,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
703,Slovakia,2015,International migrant stock: Male (% total Population),3.3669,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
703,Slovakia,2015,International migrant stock: Female (% total Population),3.1697,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
703,Slovakia,2015,Total refugees and people in refugee-like situations (number),799.0000,Data relates to the end of 2014.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
703,Slovakia,2015,"Asylum seekers, including pending cases (number)",61.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
703,Slovakia,2015,Other of concern to UNHCR (number),1671.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
703,Slovakia,2015,Total population of concern to UNHCR (number),2531.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
703,Slovakia,2017,International migrant stock: Both sexes (number),184642.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
703,Slovakia,2017,International migrant stock: Both sexes (% total population),3.3894,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
703,Slovakia,2017,International migrant stock: Male (% total Population),3.5227,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
703,Slovakia,2017,International migrant stock: Female (% total Population),3.2632,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
703,Slovakia,2017,Total refugees and people in refugee-like situations (number),984.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
703,Slovakia,2017,"Asylum seekers, including pending cases (number)",27.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
703,Slovakia,2017,Other of concern to UNHCR (number),1528.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
703,Slovakia,2017,Total population of concern to UNHCR (number),2539.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
703,Slovakia,2018,Total refugees and people in refugee-like situations (number),934.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
703,Slovakia,2018,"Asylum seekers, including pending cases (number)",47.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
703,Slovakia,2018,Other of concern to UNHCR (number),1528.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
703,Slovakia,2018,Total population of concern to UNHCR (number),2509.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
705,Slovenia,2005,International migrant stock: Both sexes (number),197276.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
705,Slovenia,2005,International migrant stock: Both sexes (% total population),9.8822,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
705,Slovenia,2005,International migrant stock: Male (% total Population),10.9942,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
705,Slovenia,2005,International migrant stock: Female (% total Population),8.8218,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
705,Slovenia,2005,Total refugees and people in refugee-like situations (number),251.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
705,Slovenia,2005,"Asylum seekers, including pending cases (number)",185.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
705,Slovenia,2005,Other of concern to UNHCR (number),715.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
705,Slovenia,2005,Total population of concern to UNHCR (number),1151.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
705,Slovenia,2010,International migrant stock: Both sexes (number),253786.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
705,Slovenia,2010,International migrant stock: Both sexes (% total population),12.4091,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
705,Slovenia,2010,International migrant stock: Male (% total Population),13.9666,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
705,Slovenia,2010,International migrant stock: Female (% total Population),10.8847,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
705,Slovenia,2010,Total refugees and people in refugee-like situations (number),314.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
705,Slovenia,2010,"Asylum seekers, including pending cases (number)",121.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
705,Slovenia,2010,Other of concern to UNHCR (number),4119.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
