X26,Water supply and sanitation services,,,,,
616,Poland,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",87.6890,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
616,Poland,2017,"Safely managed drinking water sources, total (Proportion of population with access)",99.1561,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
616,Poland,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",93.2525,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
620,Portugal,2005,"Safely managed drinking water sources, total (Proportion of population with access)",94.1134,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
620,Portugal,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",58.4968,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
620,Portugal,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",54.2728,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
620,Portugal,2010,"Safely managed drinking water sources, total (Proportion of population with access)",94.7899,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
620,Portugal,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",74.0572,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
620,Portugal,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",67.8366,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
620,Portugal,2017,"Safely managed drinking water sources, total (Proportion of population with access)",95.3119,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
620,Portugal,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",92.6737,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
620,Portugal,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",84.7075,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
630,Puerto Rico,2005,"Safely managed drinking water sources, total (Proportion of population with access)",75.0283,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
630,Puerto Rico,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",32.5451,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
630,Puerto Rico,2010,"Safely managed drinking water sources, total (Proportion of population with access)",80.3141,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
630,Puerto Rico,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",32.5447,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
630,Puerto Rico,2017,"Safely managed drinking water sources, total (Proportion of population with access)",94.0850,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
630,Puerto Rico,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",32.5441,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
634,Qatar,2005,"Safely managed drinking water sources, total (Proportion of population with access)",96.6000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
634,Qatar,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",86.2797,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
634,Qatar,2010,"Safely managed drinking water sources, total (Proportion of population with access)",96.6000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
634,Qatar,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",88.4500,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
634,Qatar,2017,"Safely managed drinking water sources, total (Proportion of population with access)",96.1828,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
634,Qatar,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",96.0315,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
410,Republic of Korea,2005,"Safely managed drinking water sources, total (Proportion of population with access)",96.8221,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
410,Republic of Korea,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",90.8348,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
410,Republic of Korea,2010,"Safely managed drinking water sources, total (Proportion of population with access)",97.7168,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
410,Republic of Korea,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",95.6794,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
410,Republic of Korea,2017,"Safely managed drinking water sources, total (Proportion of population with access)",98.2139,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
410,Republic of Korea,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",99.9043,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
498,Republic of Moldova,2005,"Safely managed drinking water sources, total (Proportion of population with access)",50.4607,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
498,Republic of Moldova,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",74.0549,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
498,Republic of Moldova,2010,"Safely managed drinking water sources, total (Proportion of population with access)",62.1708,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
498,Republic of Moldova,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",75.1899,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
498,Republic of Moldova,2017,"Safely managed drinking water sources, total (Proportion of population with access)",72.8779,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
498,Republic of Moldova,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",77.8977,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
638,Réunion,2005,"Safely managed drinking water sources, total (Proportion of population with access)",95.7806,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
638,Réunion,2010,"Safely managed drinking water sources, total (Proportion of population with access)",95.9700,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
638,Réunion,2017,"Safely managed drinking water sources, total (Proportion of population with access)",96.1792,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
642,Romania,2005,"Safely managed drinking water sources, total (Proportion of population with access)",81.7001,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
642,Romania,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",55.6641,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
642,Romania,2010,"Safely managed drinking water sources, total (Proportion of population with access)",81.8855,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
642,Romania,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",63.3156,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
642,Romania,2017,"Safely managed drinking water sources, total (Proportion of population with access)",81.9158,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
642,Romania,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",76.5407,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
643,Russian Federation,2005,"Safely managed drinking water sources, total (Proportion of population with access)",74.9060,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
643,Russian Federation,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",61.4040,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
643,Russian Federation,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",43.5923,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
643,Russian Federation,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",56.6773,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
643,Russian Federation,2010,"Safely managed drinking water sources, total (Proportion of population with access)",75.3466,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
643,Russian Federation,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",62.2311,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
643,Russian Federation,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",48.3610,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
643,Russian Federation,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",58.5814,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
643,Russian Federation,2017,"Safely managed drinking water sources, total (Proportion of population with access)",76.0277,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
643,Russian Federation,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",63.4078,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
643,Russian Federation,2017,"Safely managed sanitation facilities, rural (Proportion of population with access)",55.2331,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
643,Russian Federation,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",61.3062,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
646,Rwanda,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",29.6811,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
646,Rwanda,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",35.2403,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
646,Rwanda,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",43.4490,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
654,Saint Helena,2005,"Safely managed drinking water sources, total (Proportion of population with access)",88.6894,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
654,Saint Helena,2010,"Safely managed drinking water sources, total (Proportion of population with access)",88.8695,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
654,Saint Helena,2017,"Safely managed drinking water sources, total (Proportion of population with access)",89.1846,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
666,Saint Pierre and Miquelon,2010,"Safely managed drinking water sources, total (Proportion of population with access)",83.1283,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
666,Saint Pierre and Miquelon,2017,"Safely managed drinking water sources, total (Proportion of population with access)",83.1283,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
882,Samoa,2005,"Safely managed drinking water sources, total (Proportion of population with access)",57.2375,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
882,Samoa,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",40.4953,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
882,Samoa,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",52.0277,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
882,Samoa,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",49.5808,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
882,Samoa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",57.9858,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
882,Samoa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",39.6209,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
882,Samoa,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",51.7840,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
882,Samoa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",49.3419,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
882,Samoa,2017,"Safely managed drinking water sources, total (Proportion of population with access)",58.8211,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
882,Samoa,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",37.7408,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
882,Samoa,2017,"Safely managed sanitation facilities, rural (Proportion of population with access)",50.8948,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
882,Samoa,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",48.4677,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
674,San Marino,2005,"Safely managed drinking water sources, total (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
674,San Marino,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",77.2261,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
674,San Marino,2010,"Safely managed drinking water sources, total (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
674,San Marino,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",77.2261,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
674,San Marino,2017,"Safely managed drinking water sources, total (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
674,San Marino,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",77.2261,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
682,Saudi Arabia,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",69.8279,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
682,Saudi Arabia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",73.1157,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
682,Saudi Arabia,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",77.7521,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
686,Senegal,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",16.0527,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
686,Senegal,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",15.5852,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
686,Senegal,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",15.7802,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
686,Senegal,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",16.8790,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
686,Senegal,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",17.8467,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
686,Senegal,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",17.4231,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
686,Senegal,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",21.8646,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
686,Senegal,2017,"Safely managed sanitation facilities, rural (Proportion of population with access)",21.0970,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
686,Senegal,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",21.4558,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
688,Serbia,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",81.4941,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
688,Serbia,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",66.5146,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
688,Serbia,2005,"Safely managed drinking water sources, total (Proportion of population with access)",74.5860,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
688,Serbia,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",18.7584,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
688,Serbia,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",26.6267,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
688,Serbia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",81.4143,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
688,Serbia,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",66.4458,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
688,Serbia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",74.6774,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
688,Serbia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",20.2157,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
688,Serbia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",25.0945,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
688,Serbia,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",81.3186,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
688,Serbia,2017,"Safely managed drinking water sources, rural (Proportion of population with access)",66.3632,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
688,Serbia,2017,"Safely managed drinking water sources, total (Proportion of population with access)",74.7295,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
688,Serbia,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",23.1918,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
688,Serbia,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",24.7261,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
694,Sierra Leone,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",11.0168,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
694,Sierra Leone,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",2.8694,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
